"Start","End","Team","League","Salary","Player","ID","Season"
"1990","91","Portland Trail Blazers","NBA","$395,000","Alaa Abdelnaby","abdelal01","1990-91"
"1991","92","Portland Trail Blazers","NBA","$494,000","Alaa Abdelnaby","abdelal01","1991-92"
"1992","93","Boston Celtics","NBA","$500,000","Alaa Abdelnaby","abdelal01","1992-93"
"1993","94","Boston Celtics","NBA","$805,000","Alaa Abdelnaby","abdelal01","1993-94"
"1994","95","Sacramento Kings","NBA","$650,000","Alaa Abdelnaby","abdelal01","1994-95"
"1984","85","Los Angeles Lakers","NBA","$1,530,000","Kareem Abdul-Jabbar*","abdulka01","1984-85"
"1985","86","Los Angeles Lakers","NBA","$2,030,000","Kareem Abdul-Jabbar*","abdulka01","1985-86"
"1987","88","Los Angeles Lakers","NBA","$2,000,000","Kareem Abdul-Jabbar*","abdulka01","1987-88"
"1988","89","Los Angeles Lakers","NBA","$3,000,000","Kareem Abdul-Jabbar*","abdulka01","1988-89"
"1990","91","Denver Nuggets","NBA","$1,660,000","Mahmoud Abdul-Rauf","abdulma02","1990-91"
"1991","92","Denver Nuggets","NBA","$2,008,000","Mahmoud Abdul-Rauf","abdulma02","1991-92"
"1992","93","Denver Nuggets","NBA","$2,358,000","Mahmoud Abdul-Rauf","abdulma02","1992-93"
"1993","94","Denver Nuggets","NBA","$1,825,000","Mahmoud Abdul-Rauf","abdulma02","1993-94"
"1994","95","Denver Nuggets","NBA","$2,200,000","Mahmoud Abdul-Rauf","abdulma02","1994-95"
"1995","96","Denver Nuggets","NBA","$2,600,000","Mahmoud Abdul-Rauf","abdulma02","1995-96"
"1996","97","Sacramento Kings","NBA","$3,100,000","Mahmoud Abdul-Rauf","abdulma02","1996-97"
"1997","98","Sacramento Kings","NBA","$3,300,000","Mahmoud Abdul-Rauf","abdulma02","1997-98"
"2000","01","Vancouver Grizzlies","NBA","$798,500","Mahmoud Abdul-Rauf","abdulma02","2000-01"
"1997","98","Sacramento Kings","NBA","$1,226,880","Tariq Abdul-Wahad","abdulta01","1997-98"
"1998","99","Sacramento Kings","NBA","$1,411,000","Tariq Abdul-Wahad","abdulta01","1998-99"
"1999","00","Denver Nuggets","NBA","$1,594,920","Tariq Abdul-Wahad","abdulta01","1999-00"
"2000","01","Denver Nuggets","NBA","$4,500,000","Tariq Abdul-Wahad","abdulta01","2000-01"
"2001","02","Denver Nuggets","NBA","$5,062,500","Tariq Abdul-Wahad","abdulta01","2001-02"
"2002","03","Dallas Mavericks","NBA","$5,625,000","Tariq Abdul-Wahad","abdulta01","2002-03"
"2003","04","Dallas Mavericks","NBA","$6,187,500","Tariq Abdul-Wahad","abdulta01","2003-04"
"2004","05","Dallas Mavericks","NBA","$6,750,000","Tariq Abdul-Wahad","abdulta01","2004-05"
"2005","06","Dallas Mavericks","NBA","$3,656,250","Tariq Abdul-Wahad","abdulta01","2005-06"
"2006","07","Dallas Mavericks","NBA","$1,968,750","Tariq Abdul-Wahad","abdulta01","2006-07"
"1996","97","Vancouver Grizzlies","NBA","$2,186,000","Shareef Abdur-Rahim","abdursh01","1996-97"
"1997","98","Vancouver Grizzlies","NBA","$2,513,760","Shareef Abdur-Rahim","abdursh01","1997-98"
"1998","99","Vancouver Grizzlies","NBA","$2,842,000","Shareef Abdur-Rahim","abdursh01","1998-99"
"1999","00","Vancouver Grizzlies","NBA","$9,000,000","Shareef Abdur-Rahim","abdursh01","1999-00"
"2000","01","Vancouver Grizzlies","NBA","$10,130,000","Shareef Abdur-Rahim","abdursh01","2000-01"
"2001","02","Atlanta Hawks","NBA","$11,250,000","Shareef Abdur-Rahim","abdursh01","2001-02"
"2002","03","Atlanta Hawks","NBA","$12,375,000","Shareef Abdur-Rahim","abdursh01","2002-03"
"2003","04","Atlanta Hawks","NBA","$13,500,000","Shareef Abdur-Rahim","abdursh01","2003-04"
"2004","05","Portland Trail Blazers","NBA","$14,625,000","Shareef Abdur-Rahim","abdursh01","2004-05"
"2005","06","Sacramento Kings","NBA","$5,000,000","Shareef Abdur-Rahim","abdursh01","2005-06"
"2006","07","Sacramento Kings","NBA","$5,400,000","Shareef Abdur-Rahim","abdursh01","2006-07"
"2007","08","Sacramento Kings","NBA","$5,800,000","Shareef Abdur-Rahim","abdursh01","2007-08"
"2009","10","Sacramento Kings","NBA","$6,600,000","Shareef Abdur-Rahim","abdursh01","2009-10"
"2016","17","Oklahoma City Thunder","NBA","$5,994,764","Álex Abrines","abrinal01","2016-17"
"2017","18","Oklahoma City Thunder","NBA","$5,725,000","Álex Abrines","abrinal01","2017-18"
"2018","19","Oklahoma City Thunder","NBA","$3,575,183","Álex Abrines","abrinal01","2018-19"
"2005","06","Detroit Pistons","NBA","$398,762","Alex Acker","ackeral01","2005-06"
"2006","07","Detroit Pistons","NBA","$839,209","Alex Acker","ackeral01","2006-07"
"2008","09","Los Angeles Clippers","NBA","$711,517","Alex Acker","ackeral01","2008-09"
"1987","88","Boston Celtics","NBA","$75,000","Mark Acres","acresma01","1987-88"
"1988","89","Boston Celtics","NBA","$300,000","Mark Acres","acresma01","1988-89"
"1990","91","Orlando Magic","NBA","$437,000","Mark Acres","acresma01","1990-91"
"1991","92","Orlando Magic","NBA","$547,000","Mark Acres","acresma01","1991-92"
"1992","93","Houston Rockets","NBA","$250,000","Mark Acres","acresma01","1992-93"
"2012","13","Toronto Raptors","NBA","$665,000","Quincy Acy","acyqu01","2012-13"
"2013","14","Toronto Raptors","NBA","$788,872","Quincy Acy","acyqu01","2013-14"
"2014","15","New York Knicks","NBA","$915,243","Quincy Acy","acyqu01","2014-15"
"2015","16","Sacramento Kings","NBA","$981,348","Quincy Acy","acyqu01","2015-16"
"2016","17","Brooklyn Nets","NBA","$1,914,544","Quincy Acy","acyqu01","2016-17"
"2016","17","Dallas Mavericks","NBA","$1,050,961","Quincy Acy","acyqu01","2016-17"
"2017","18","Brooklyn Nets","NBA","$1,709,538","Quincy Acy","acyqu01","2017-18"
"2018","19","Phoenix Suns","NBA","$213,948","Quincy Acy","acyqu01","2018-19"
"1984","85","Phoenix Suns","NBA","$500,000","Alvan Adams","adamsal01","1984-85"
"1985","86","Phoenix Suns","NBA","$600,000","Alvan Adams","adamsal01","1985-86"
"1987","88","Phoenix Suns","NBA","$675,000","Alvan Adams","adamsal01","1987-88"
"2006","07","New Jersey Nets","NBA","$412,718","Hassan Adams","adamsha01","2006-07"
"2008","09","Los Angeles Clippers","NBA","$297,163","Hassan Adams","adamsha01","2008-09"
"2018","19","Atlanta Hawks","NBA","$236,854","Jaylen Adams","adamsja01","2018-19"
"2019","20","Portland Trail Blazers","NBA","$163,356","Jaylen Adams","adamsja01","2019-20"
"2019","20","Atlanta Hawks","NBA","$100,000","Jaylen Adams","adamsja01","2019-20"
"2014","15","Memphis Grizzlies","NBA","$1,344,120","Jordan Adams","adamsjo01","2014-15"
"2015","16","Memphis Grizzlies","NBA","$1,404,600","Jordan Adams","adamsjo01","2015-16"
"2016","17","Memphis Grizzlies","NBA","$1,465,080","Jordan Adams","adamsjo01","2016-17"
"1985","86","Sacramento Kings","NBA","$85,000","Michael Adams","adamsmi01","1985-86"
"1987","88","Denver Nuggets","NBA","$160,000","Michael Adams","adamsmi01","1987-88"
"1988","89","Denver Nuggets","NBA","$375,000","Michael Adams","adamsmi01","1988-89"
"1990","91","Denver Nuggets","NBA","$825,000","Michael Adams","adamsmi01","1990-91"
"1991","92","Washington Bullets","NBA","$1,309,000","Michael Adams","adamsmi01","1991-92"
"1992","93","Washington Bullets","NBA","$1,309,000","Michael Adams","adamsmi01","1992-93"
"1993","94","Washington Bullets","NBA","$1,309,000","Michael Adams","adamsmi01","1993-94"
"1994","95","Charlotte Hornets","NBA","$1,240,000","Michael Adams","adamsmi01","1994-95"
"2013","14","Oklahoma City Thunder","NBA","$2,090,880","Steven Adams","adamsst01","2013-14"
"2014","15","Oklahoma City Thunder","NBA","$2,184,960","Steven Adams","adamsst01","2014-15"
"2015","16","Oklahoma City Thunder","NBA","$2,279,040","Steven Adams","adamsst01","2015-16"
"2016","17","Oklahoma City Thunder","NBA","$3,140,517","Steven Adams","adamsst01","2016-17"
"2017","18","Oklahoma City Thunder","NBA","$22,471,910","Steven Adams","adamsst01","2017-18"
"2018","19","Oklahoma City Thunder","NBA","$24,157,304","Steven Adams","adamsst01","2018-19"
"2019","20","Oklahoma City Thunder","NBA","$25,842,697","Steven Adams","adamsst01","2019-20"
"1991","92","New Jersey Nets","NBA","$311,000","Rafael Addison","addisra01","1991-92"
"1992","93","New Jersey Nets","NBA","$522,000","Rafael Addison","addisra01","1992-93"
"1994","95","Detroit Pistons","NBA","$250,000","Rafael Addison","addisra01","1994-95"
"1995","96","Charlotte Hornets","NBA","$360,000","Rafael Addison","addisra01","1995-96"
"1996","97","Charlotte Hornets","NBA","$290,000","Rafael Addison","addisra01","1996-97"
"2017","18","Miami Heat","NBA","$2,490,360","Bam Adebayo","adebaba01","2017-18"
"2018","19","Miami Heat","NBA","$2,955,840","Bam Adebayo","adebaba01","2018-19"
"2019","20","Miami Heat","NBA","$3,454,080","Bam Adebayo","adebaba01","2019-20"
"2018","19","Cleveland Cavaliers","NBA","< $Minimum","Deng Adel","adelde01","2018-19"
"2010","11","Golden State Warriors","NBA","$342,666","Jeff Adrien","adrieje01","2010-11"
"2011","12","Houston Rockets","NBA","$270,427","Jeff Adrien","adrieje01","2011-12"
"2012","13","Charlotte Bobcats","NBA","$804,131","Jeff Adrien","adrieje01","2012-13"
"2013","14","Charlotte Bobcats","NBA","$916,099","Jeff Adrien","adrieje01","2013-14"
"2014","15","Houston Rockets","NBA","$981,084","Jeff Adrien","adrieje01","2014-15"
"2007","08","Detroit Pistons","NBA","$944,520","Arron Afflalo","afflaar01","2007-08"
"2008","09","Detroit Pistons","NBA","$1,015,440","Arron Afflalo","afflaar01","2008-09"
"2009","10","Denver Nuggets","NBA","$1,086,240","Arron Afflalo","afflaar01","2009-10"
"2010","11","Denver Nuggets","NBA","$1,959,577","Arron Afflalo","afflaar01","2010-11"
"2011","12","Denver Nuggets","NBA","$7,562,500","Arron Afflalo","afflaar01","2011-12"
"2012","13","Orlando Magic","NBA","$7,750,000","Arron Afflalo","afflaar01","2012-13"
"2013","14","Orlando Magic","NBA","$7,312,500","Arron Afflalo","afflaar01","2013-14"
"2014","15","Portland Trail Blazers","NBA","$7,750,000","Arron Afflalo","afflaar01","2014-15"
"2015","16","New York Knicks","NBA","$8,000,000","Arron Afflalo","afflaar01","2015-16"
"2016","17","Sacramento Kings","NBA","$12,500,000","Arron Afflalo","afflaar01","2016-17"
"2017","18","Sacramento Kings","NBA","$1,500,000","Arron Afflalo","afflaar01","2017-18"
"2017","18","Orlando Magic","NBA","$1,471,382","Arron Afflalo","afflaar01","2017-18"
"2006","07","Dallas Mavericks","NBA","$906,480","Maurice Ager","agerma01","2006-07"
"2007","08","New Jersey Nets","NBA","$974,400","Maurice Ager","agerma01","2007-08"
"2008","09","New Jersey Nets","NBA","$1,042,440","Maurice Ager","agerma01","2008-09"
"2010","11","Minnesota Timberwolves","NBA","$83,305","Maurice Ager","agerma01","2010-11"
"1984","85","Dallas Mavericks","NBA","$800,000","Mark Aguirre","aguirma01","1984-85"
"1985","86","Dallas Mavericks","NBA","$626,240","Mark Aguirre","aguirma01","1985-86"
"1987","88","Dallas Mavericks","NBA","$715,700","Mark Aguirre","aguirma01","1987-88"
"1988","89","Dallas Mavericks","NBA","$715,700","Mark Aguirre","aguirma01","1988-89"
"1990","91","Detroit Pistons","NBA","$1,115,000","Mark Aguirre","aguirma01","1990-91"
"1991","92","Detroit Pistons","NBA","$1,232,000","Mark Aguirre","aguirma01","1991-92"
"1992","93","Detroit Pistons","NBA","$1,351,000","Mark Aguirre","aguirma01","1992-93"
"1993","94","Detroit Pistons","NBA","$1,471,000","Mark Aguirre","aguirma01","1993-94"
"1993","94","Los Angeles Clippers","NBA","$150,000","Mark Aguirre","aguirma01","1993-94"
"2008","09","San Antonio Spurs","NBA","$125,562","Blake Ahearn","ahearbl01","2008-09"
"1984","85","Boston Celtics","NBA","$400,000","Danny Ainge","aingeda01","1984-85"
"1985","86","Boston Celtics","NBA","$550,000","Danny Ainge","aingeda01","1985-86"
"1987","88","Boston Celtics","NBA","$625,000","Danny Ainge","aingeda01","1987-88"
"1988","89","Boston Celtics","NBA","$675,000","Danny Ainge","aingeda01","1988-89"
"1990","91","Portland Trail Blazers","NBA","$725,000","Danny Ainge","aingeda01","1990-91"
"1991","92","Portland Trail Blazers","NBA","$725,000","Danny Ainge","aingeda01","1991-92"
"1992","93","Phoenix Suns","NBA","$1,330,000","Danny Ainge","aingeda01","1992-93"
"1993","94","Phoenix Suns","NBA","$1,690,000","Danny Ainge","aingeda01","1993-94"
"1994","95","Phoenix Suns","NBA","$2,080,000","Danny Ainge","aingeda01","1994-95"
"2008","09","Charlotte Bobcats","NBA","$1,276,320","Alexis Ajinça","ajincal01","2008-09"
"2009","10","Charlotte Bobcats","NBA","$1,372,080","Alexis Ajinça","ajincal01","2009-10"
"2010","11","Toronto Raptors","NBA","$1,467,840","Alexis Ajinça","ajincal01","2010-11"
"2014","15","New Orleans Pelicans","NBA","$981,084","Alexis Ajinça","ajincal01","2014-15"
"2015","16","New Orleans Pelicans","NBA","$4,300,000","Alexis Ajinça","ajincal01","2015-16"
"2016","17","New Orleans Pelicans","NBA","$4,600,000","Alexis Ajinça","ajincal01","2016-17"
"2017","18","New Orleans Pelicans","NBA","$4,961,798","Alexis Ajinça","ajincal01","2017-18"
"2018","19","Los Angeles Clippers","NBA","$5,285,394","Alexis Ajinça","ajincal01","2018-19"
"2013","14","Memphis Grizzlies","NBA","$788,872","Josh Akognon","akognjo01","2013-14"
"2010","11","Toronto Raptors","NBA","$770,000","Solomon Alabi","alabiso01","2010-11"
"2011","12","Toronto Raptors","NBA","$830,000","Solomon Alabi","alabiso01","2011-12"
"1987","88","Washington Bullets","NBA","$232,500","Mark Alarie","alarima01","1987-88"
"1988","89","Washington Bullets","NBA","$250,000","Mark Alarie","alarima01","1988-89"
"1990","91","Washington Bullets","NBA","$500,000","Mark Alarie","alarima01","1990-91"
"1991","92","Washington Bullets","NBA","$550,000","Mark Alarie","alarima01","1991-92"
"2014","15","Philadelphia 76ers","NBA","$3,000,000","Furkan Aldemir","aldemfu01","2014-15"
"2015","16","Philadelphia 76ers","NBA","$3,000,000","Furkan Aldemir","aldemfu01","2015-16"
"2010","11","Oklahoma City Thunder","NBA","$2,126,520","Cole Aldrich","aldrico01","2010-11"
"2011","12","Oklahoma City Thunder","NBA","$2,286,000","Cole Aldrich","aldrico01","2011-12"
"2012","13","Sacramento Kings","NBA","$2,445,480","Cole Aldrich","aldrico01","2012-13"
"2014","15","New York Knicks","NBA","$981,084","Cole Aldrich","aldrico01","2014-15"
"2015","16","Los Angeles Clippers","NBA","$1,100,600","Cole Aldrich","aldrico01","2015-16"
"2016","17","Minnesota Timberwolves","NBA","$7,643,979","Cole Aldrich","aldrico01","2016-17"
"2017","18","Minnesota Timberwolves","NBA","$7,300,000","Cole Aldrich","aldrico01","2017-18"
"2018","19","Minnesota Timberwolves","NBA","$685,341","Cole Aldrich","aldrico01","2018-19"
"2019","20","Minnesota Timberwolves","NBA","$685,340","Cole Aldrich","aldrico01","2019-20"
"2006","07","Portland Trail Blazers","NBA","$4,027,320","LaMarcus Aldridge","aldrila01","2006-07"
"2007","08","Portland Trail Blazers","NBA","$4,329,360","LaMarcus Aldridge","aldrila01","2007-08"
"2008","09","Portland Trail Blazers","NBA","$4,631,400","LaMarcus Aldridge","aldrila01","2008-09"
"2009","10","Portland Trail Blazers","NBA","$5,844,827","LaMarcus Aldridge","aldrila01","2009-10"
"2010","11","Portland Trail Blazers","NBA","$11,244,000","LaMarcus Aldridge","aldrila01","2010-11"
"2011","12","Portland Trail Blazers","NBA","$12,372,000","LaMarcus Aldridge","aldrila01","2011-12"
"2012","13","Portland Trail Blazers","NBA","$13,500,000","LaMarcus Aldridge","aldrila01","2012-13"
"2013","14","Portland Trail Blazers","NBA","$14,128,000","LaMarcus Aldridge","aldrila01","2013-14"
"2014","15","Portland Trail Blazers","NBA","$16,006,000","LaMarcus Aldridge","aldrila01","2014-15"
"2015","16","San Antonio Spurs","NBA","$19,500,000","LaMarcus Aldridge","aldrila01","2015-16"
"2016","17","San Antonio Spurs","NBA","$20,575,005","LaMarcus Aldridge","aldrila01","2016-17"
"2017","18","San Antonio Spurs","NBA","$21,461,010","LaMarcus Aldridge","aldrila01","2017-18"
"2018","19","San Antonio Spurs","NBA","$22,347,015","LaMarcus Aldridge","aldrila01","2018-19"
"2019","20","San Antonio Spurs","NBA","$26,000,000","LaMarcus Aldridge","aldrila01","2019-20"
"2015","16","Portland Trail Blazers","NBA","$525,093","Cliff Alexander","alexacl01","2015-16"
"2016","17","Brooklyn Nets","NBA","$51,449","Cliff Alexander","alexacl01","2016-17"
"1995","96","San Antonio Spurs","NBA","$490,000","Cory Alexander","alexaco01","1995-96"
"1996","97","San Antonio Spurs","NBA","$521,000","Cory Alexander","alexaco01","1996-97"
"1997","98","San Antonio Spurs","NBA","$562,380","Cory Alexander","alexaco01","1997-98"
"1999","00","Denver Nuggets","NBA","$1,980,000","Cory Alexander","alexaco01","1999-00"
"2000","01","Denver Nuggets","NBA","$2,160,000","Cory Alexander","alexaco01","2000-01"
"2001","02","Denver Nuggets","NBA","$1,995,741","Cory Alexander","alexaco01","2001-02"
"2002","03","Denver Nuggets","NBA","$2,149,259","Cory Alexander","alexaco01","2002-03"
"2003","04","Denver Nuggets","NBA","$2,302,778","Cory Alexander","alexaco01","2003-04"
"2000","01","Dallas Mavericks","NBA","$1,319,400","Courtney Alexander","alexaco02","2000-01"
"2001","02","Washington Wizards","NBA","$1,418,400","Courtney Alexander","alexaco02","2001-02"
"2002","03","New Orleans Hornets","NBA","$1,517,280","Courtney Alexander","alexaco02","2002-03"
"2003","04","New Orleans Hornets","NBA","$2,168,193","Courtney Alexander","alexaco02","2003-04"
"2004","05","Sacramento Kings","NBA","$79,029","Courtney Alexander","alexaco02","2004-05"
"1994","95","Cleveland Cavaliers","NBA","$150,000","Gary Alexander","alexaga01","1994-95"
"2008","09","Milwaukee Bucks","NBA","$2,403,120","Joe Alexander","alexajo01","2008-09"
"2009","10","Chicago Bulls","NBA","$2,583,360","Joe Alexander","alexajo01","2009-10"
"2010","11","New Orleans Hornets","NBA","$90,465","Joe Alexander","alexajo01","2010-11"
"2019","20","Miami Heat","NBA","< $Minimum","Kyle Alexander","alexaky01","2019-20"
"1991","92","Golden State Warriors","NBA","$750,000","Victor Alexander","alexavi01","1991-92"
"1992","93","Golden State Warriors","NBA","$942,000","Victor Alexander","alexavi01","1992-93"
"1993","94","Golden State Warriors","NBA","$1,160,000","Victor Alexander","alexavi01","1993-94"
"1994","95","Golden State Warriors","NBA","$1,377,500","Victor Alexander","alexavi01","1994-95"
"1995","96","Toronto Raptors","NBA","$1,595,000","Victor Alexander","alexavi01","1995-96"
"2001","02","Detroit Pistons","NBA","$653,350","Victor Alexander","alexavi01","2001-02"
"2019","20","New Orleans Pelicans","NBA","$2,964,840","Nickeil Alexander-Walker","alexani01","2019-20"
"1987","88","Dallas Mavericks","NBA","$100,000","Steve Alford","alforst01","1987-88"
"1988","89","Golden State Warriors","NBA","$150,000","Steve Alford","alforst01","1988-89"
"1990","91","Dallas Mavericks","NBA","$250,000","Steve Alford","alforst01","1990-91"
"2018","19","Chicago Bulls","NBA","< $Minimum","Rawle Alkins","alkinra01","2018-19"
"2018","19","Utah Jazz","NBA","$2,074,320","Grayson Allen","allengr01","2018-19"
"2019","20","Memphis Grizzlies","NBA","$2,429,400","Grayson Allen","allengr01","2019-20"
"2017","18","Brooklyn Nets","NBA","$1,713,720","Jarrett Allen","allenja01","2017-18"
"2018","19","Brooklyn Nets","NBA","$2,034,120","Jarrett Allen","allenja01","2018-19"
"2019","20","Brooklyn Nets","NBA","$2,376,840","Jarrett Allen","allenja01","2019-20"
"1995","96","Minnesota Timberwolves","NBA","$200,000","Jerome Allen","allenje01","1995-96"
"1996","97","Indiana Pacers","NBA","$247,500","Jerome Allen","allenje01","1996-97"
"1997","98","Cleveland Cavaliers","NBA","$35,000","Jerome Allen","allenje01","1997-98"
"1999","00","Milwaukee Bucks","NBA","$510,000","Jerome Allen","allenje01","1999-00"
"2017","18","Boston Celtics","NBA","< $Minimum","Kadeem Allen","allenka01","2017-18"
"2018","19","New York Knicks","NBA","< $Minimum","Kadeem Allen","allenka01","2018-19"
"2011","12","Philadelphia 76ers","NBA","$473,604","Lavoy Allen","allenla01","2011-12"
"2012","13","Philadelphia 76ers","NBA","$3,000,000","Lavoy Allen","allenla01","2012-13"
"2013","14","Philadelphia 76ers","NBA","$3,060,000","Lavoy Allen","allenla01","2013-14"
"2014","15","Indiana Pacers","NBA","$948,163","Lavoy Allen","allenla01","2014-15"
"2015","16","Indiana Pacers","NBA","$3,700,000","Lavoy Allen","allenla01","2015-16"
"2016","17","Indiana Pacers","NBA","$4,000,000","Lavoy Allen","allenla01","2016-17"
"2001","02","Miami Heat","NBA","$332,817","Malik Allen","allenma01","2001-02"
"2002","03","Miami Heat","NBA","$512,435","Malik Allen","allenma01","2002-03"
"2003","04","Miami Heat","NBA","$1,510,000","Malik Allen","allenma01","2003-04"
"2004","05","Miami Heat","NBA","$1,950,625","Malik Allen","allenma01","2004-05"
"2005","06","Chicago Bulls","NBA","$1,670,000","Malik Allen","allenma01","2005-06"
"2006","07","Chicago Bulls","NBA","$1,803,600","Malik Allen","allenma01","2006-07"
"2007","08","Dallas Mavericks","NBA","$998,398","Malik Allen","allenma01","2007-08"
"2008","09","Milwaukee Bucks","NBA","$1,300,000","Malik Allen","allenma01","2008-09"
"2009","10","Denver Nuggets","NBA","$1,300,000","Malik Allen","allenma01","2009-10"
"2010","11","Orlando Magic","NBA","$1,229,255","Malik Allen","allenma01","2010-11"
"1996","97","Milwaukee Bucks","NBA","$1,785,000","Ray Allen*","allenra02","1996-97"
"1997","98","Milwaukee Bucks","NBA","$2,052,360","Ray Allen*","allenra02","1997-98"
"1998","99","Milwaukee Bucks","NBA","$2,320,000","Ray Allen*","allenra02","1998-99"
"1999","00","Milwaukee Bucks","NBA","$9,000,000","Ray Allen*","allenra02","1999-00"
"2000","01","Milwaukee Bucks","NBA","$10,130,000","Ray Allen*","allenra02","2000-01"
"2001","02","Milwaukee Bucks","NBA","$11,250,000","Ray Allen*","allenra02","2001-02"
"2002","03","Milwaukee Bucks","NBA","$12,375,000","Ray Allen*","allenra02","2002-03"
"2003","04","Seattle SuperSonics","NBA","$13,500,000","Ray Allen*","allenra02","2003-04"
"2004","05","Seattle SuperSonics","NBA","$14,625,000","Ray Allen*","allenra02","2004-05"
"2005","06","Seattle SuperSonics","NBA","$13,223,140","Ray Allen*","allenra02","2005-06"
"2006","07","Seattle SuperSonics","NBA","$14,611,570","Ray Allen*","allenra02","2006-07"
"2007","08","Boston Celtics","NBA","$16,000,000","Ray Allen*","allenra02","2007-08"
"2008","09","Boston Celtics","NBA","$18,388,430","Ray Allen*","allenra02","2008-09"
"2009","10","Boston Celtics","NBA","$18,776,860","Ray Allen*","allenra02","2009-10"
"2010","11","Boston Celtics","NBA","$10,000,000","Ray Allen*","allenra02","2010-11"
"2011","12","Boston Celtics","NBA","$10,000,000","Ray Allen*","allenra02","2011-12"
"2012","13","Miami Heat","NBA","$3,090,000","Ray Allen*","allenra02","2012-13"
"2013","14","Miami Heat","NBA","$3,229,050","Ray Allen*","allenra02","2013-14"
"2004","05","Boston Celtics","NBA","$901,920","Tony Allen","allento01","2004-05"
"2005","06","Boston Celtics","NBA","$969,696","Tony Allen","allento01","2005-06"
"2006","07","Boston Celtics","NBA","$1,037,280","Tony Allen","allento01","2006-07"
"2007","08","Boston Celtics","NBA","$1,868,141","Tony Allen","allento01","2007-08"
"2008","09","Boston Celtics","NBA","$2,500,000","Tony Allen","allento01","2008-09"
"2009","10","Boston Celtics","NBA","$2,500,000","Tony Allen","allento01","2009-10"
"2010","11","Memphis Grizzlies","NBA","$3,000,000","Tony Allen","allento01","2010-11"
"2011","12","Memphis Grizzlies","NBA","$3,150,000","Tony Allen","allento01","2011-12"
"2012","13","Memphis Grizzlies","NBA","$3,300,000","Tony Allen","allento01","2012-13"
"2013","14","Memphis Grizzlies","NBA","$4,494,382","Tony Allen","allento01","2013-14"
"2014","15","Memphis Grizzlies","NBA","$4,831,461","Tony Allen","allento01","2014-15"
"2015","16","Memphis Grizzlies","NBA","$5,168,539","Tony Allen","allento01","2015-16"
"2016","17","Memphis Grizzlies","NBA","$5,505,618","Tony Allen","allento01","2016-17"
"2017","18","Chicago Bulls","NBA","$1,471,382","Tony Allen","allento01","2017-18"
"2007","08","Utah Jazz","NBA","$1,005,960","Morris Almond","almonmo01","2007-08"
"2008","09","Utah Jazz","NBA","$1,081,440","Morris Almond","almonmo01","2008-09"
"1994","95","Philadelphia 76ers","NBA","$150,000","Derrick Alston","alstode01","1994-95"
"1995","96","Philadelphia 76ers","NBA","$350,000","Derrick Alston","alstode01","1995-96"
"1999","00","Milwaukee Bucks","NBA","$301,875","Rafer Alston","alstora01","1999-00"
"2000","01","Milwaukee Bucks","NBA","$423,500","Rafer Alston","alstora01","2000-01"
"2001","02","Milwaukee Bucks","NBA","$625,000","Rafer Alston","alstora01","2001-02"
"2002","03","Toronto Raptors","NBA","$37,344","Rafer Alston","alstora01","2002-03"
"2003","04","Miami Heat","NBA","$688,679","Rafer Alston","alstora01","2003-04"
"2004","05","Toronto Raptors","NBA","$3,500,000","Rafer Alston","alstora01","2004-05"
"2005","06","Houston Rockets","NBA","$3,850,000","Rafer Alston","alstora01","2005-06"
"2006","07","Houston Rockets","NBA","$4,200,000","Rafer Alston","alstora01","2006-07"
"2007","08","Houston Rockets","NBA","$4,550,000","Rafer Alston","alstora01","2007-08"
"2008","09","Orlando Magic","NBA","$4,900,000","Rafer Alston","alstora01","2008-09"
"2009","10","New Jersey Nets","NBA","$4,300,000","Rafer Alston","alstora01","2009-10"
"2009","10","Miami Heat","NBA","$753,133","Rafer Alston","alstora01","2009-10"
"1995","96","Cleveland Cavaliers","NBA","$200,000","John Amaechi","amaecjo01","1995-96"
"1999","00","Orlando Magic","NBA","$385,000","John Amaechi","amaecjo01","1999-00"
"2000","01","Orlando Magic","NBA","$600,000","John Amaechi","amaecjo01","2000-01"
"2001","02","Utah Jazz","NBA","$2,175,000","John Amaechi","amaecjo01","2001-02"
"2002","03","Utah Jazz","NBA","$2,392,500","John Amaechi","amaecjo01","2002-03"
"2003","04","New York Knicks","NBA","$2,610,000","John Amaechi","amaecjo01","2003-04"
"2004","05","New York Knicks","NBA","$1,200,000","John Amaechi","amaecjo01","2004-05"
"1995","96","Vancouver Grizzlies","NBA","$225,000","Ashraf Amaya","amayaas01","1995-96"
"1996","97","Washington Bullets","NBA","$247,500","Ashraf Amaya","amayaas01","1996-97"
"2010","11","Los Angeles Clippers","NBA","$2,563,320","Al-Farouq Aminu","aminual01","2010-11"
"2011","12","New Orleans Hornets","NBA","$2,755,560","Al-Farouq Aminu","aminual01","2011-12"
"2012","13","New Orleans Hornets","NBA","$2,947,800","Al-Farouq Aminu","aminual01","2012-13"
"2013","14","New Orleans Pelicans","NBA","$3,700,000","Al-Farouq Aminu","aminual01","2013-14"
"2014","15","Dallas Mavericks","NBA","$981,084","Al-Farouq Aminu","aminual01","2014-15"
"2015","16","Portland Trail Blazers","NBA","$7,500,000","Al-Farouq Aminu","aminual01","2015-16"
"2016","17","Portland Trail Blazers","NBA","$7,680,965","Al-Farouq Aminu","aminual01","2016-17"
