"Start","End","Age","Team","League","Position","G","MP","PER","True_Shooting_Percentage","three_point_attempt_rate","Free_throw_rate","Offensive_rebound_percentage","Defensive_rebound_percentage","Total_rebound_percentage","Assistant_percentage","Steal_percentage","Block_percentage","Turnover_percentage","UsaGE_percentage","Offensive_win_shares","Defensive_win_shares","win_shares","win_shares_per_48_minutes","Offensive_box_plus_minus","Defensive_box_plus_minus","Box_plus_minus","Value_over_replacement_player","Player","ID","Season"
"1990","91",22,"POR","NBA","PF",43,290,13.1,0.499,0,0.379,10.4,23.4,17,5.8,0.7,2.5,14,22.1,0,0.5,0.5,0.079,-3.4,-1.2,-4.6,-0.2,"Alaa Abdelnaby","abdelal01","1990-91"
"1991","92",23,"POR","NBA","PF",71,934,13.5,0.533,0,0.28,9.5,20.9,15.2,4.7,1.3,1.1,14,20.6,0.6,1.5,2.1,0.11,-2.3,-0.4,-2.6,-0.1,"Alaa Abdelnaby","abdelal01","1991-92"
"1992","93",24,"TOT","NBA","PF",75,1311,13.2,0.551,0.002,0.245,11,18.1,14.6,3,1,1.2,15.6,20.5,0.7,1.3,2,0.074,-2.4,-1.5,-3.9,-0.6,"Alaa Abdelnaby","abdelal01","1992-93"
"1992","93",24,"BOS","NBA","PF",63,1152,13.4,0.557,0,0.24,11.3,18.1,14.8,2.2,0.8,1.2,15.4,20.5,0.7,1.2,1.9,0.079,-2.3,-1.7,-4,-0.6,"Alaa Abdelnaby","abdelal01","1992-93"
"1994","95",26,"TOT","NBA","PF",54,506,12.6,0.519,0.009,0.152,8.7,17.4,13.1,5,1.5,1.8,15.4,25.6,-0.4,0.7,0.3,0.027,-4.4,0.1,-4.3,-0.3,"Alaa Abdelnaby","abdelal01","1994-95"
"1994","95",26,"SAC","NBA","PF",51,476,14.1,0.54,0.009,0.159,8.5,17.3,13,5.3,1.6,1.9,14.5,25.7,-0.1,0.7,0.6,0.058,-3.6,0.5,-3.1,-0.1,"Alaa Abdelnaby","abdelal01","1994-95"
"1984","85",37,"LAL","NBA","C",79,2630,22.9,0.628,0.001,0.327,7.7,18.2,13.5,13.1,1.1,3.3,12.5,24.3,7.6,3.6,11.2,0.204,3.9,1.2,5.1,4.8,"Kareem Abdul-Jabbar*","abdulka01","1984-85"
"1985","86",38,"LAL","NBA","C",79,2629,22.7,0.603,0.001,0.328,6,14.2,10.3,15.7,1.2,2.7,11.7,26.6,7.6,3.2,10.8,0.197,4.4,1,5.4,4.9,"Kareem Abdul-Jabbar*","abdulka01","1985-86"
"1986","87",39,"LAL","NBA","C",78,2441,17.9,0.597,0.003,0.345,7.4,15.8,11.9,11.6,0.9,2.2,14,22.1,4.5,3,7.5,0.148,1.4,0.1,1.6,2.2,"Kareem Abdul-Jabbar*","abdulka01","1986-87"
"1987","88",40,"LAL","NBA","C",80,2308,15.8,0.57,0.001,0.298,6.1,16.9,11.7,8.4,1,2.2,13.5,21.4,2.6,2.7,5.3,0.111,-0.1,0.1,0,1.2,"Kareem Abdul-Jabbar*","abdulka01","1987-88"
"1988","89",41,"LAL","NBA","C",74,1695,12.9,0.511,0.005,0.25,7.3,14.2,11,6.1,1.1,2.9,11.5,20.1,0.9,2,2.9,0.082,-1.9,-0.2,-2.1,0,"Kareem Abdul-Jabbar*","abdulka01","1988-89"
"1990","91",21,"DEN","NBA","PG",67,1505,12.2,0.448,0.099,0.097,1.9,6,3.8,19.2,1.5,0.1,9.5,27.2,-0.7,-0.3,-1,-0.031,-2,-3,-5,-1.1,"Mahmoud Abdul-Rauf","abdulma02","1990-91"
"1991","92",22,"DEN","NBA","PG",81,1538,12.6,0.469,0.111,0.128,1.5,6.8,4,21,1.4,0.2,11.6,26.7,-0.2,0.8,0.6,0.018,-1.2,-1.9,-3.1,-0.4,"Mahmoud Abdul-Rauf","abdulma02","1991-92"
"1992","93",23,"DEN","NBA","PG",81,2710,15.6,0.515,0.14,0.165,2,6.8,4.4,20.8,1.5,0.2,11,25.5,3,2.2,5.1,0.091,0.9,-1.1,-0.1,1.3,"Mahmoud Abdul-Rauf","abdulma02","1992-93"
"1993","94",24,"DEN","NBA","PG",80,2617,16.7,0.521,0.104,0.179,1.2,5.8,3.6,24.1,1.6,0.2,9.9,24.9,4.4,2.4,6.8,0.125,1.5,-0.7,0.8,1.9,"Mahmoud Abdul-Rauf","abdulma02","1993-94"
"1994","95",25,"DEN","NBA","PG",73,2082,17.8,0.543,0.214,0.155,1.9,5.9,3.9,23,1.9,0.3,10,25.8,3.8,1.3,5,0.115,2.3,-1.2,1.2,1.7,"Mahmoud Abdul-Rauf","abdulma02","1994-95"
"1995","96",26,"DEN","NBA","PG",57,2029,18.6,0.535,0.324,0.164,1.5,6.4,3.9,34.7,1.6,0.1,10.1,25.1,4.4,1.1,5.5,0.131,3.5,-1.6,1.9,1.9,"Mahmoud Abdul-Rauf","abdulma02","1995-96"
"1996","97",27,"SAC","NBA","PG",75,2131,13.2,0.524,0.266,0.147,0.9,5.9,3.3,15.8,1.4,0.2,10.8,23.2,2,0.7,2.7,0.06,-0.8,-1.8,-2.6,-0.4,"Mahmoud Abdul-Rauf","abdulma02","1996-97"
"1997","98",28,"SAC","NBA","PG",31,530,10.5,0.405,0.114,0.059,1.2,6.7,3.9,19.7,1.6,0.1,6.4,25.1,-0.5,0.2,-0.3,-0.025,-3.1,-1.5,-4.6,-0.4,"Mahmoud Abdul-Rauf","abdulma02","1997-98"
"2000","01",31,"VAN","NBA","PG",41,486,16.7,0.514,0.057,0.118,1.2,4.7,2.9,32.7,1,0.1,9.1,26.8,0.7,0,0.7,0.07,1.1,-2.1,-1,0.1,"Mahmoud Abdul-Rauf","abdulma02","2000-01"
"1997","98",23,"SAC","NBA","SG",59,959,10.1,0.456,0.053,0.35,5,8.6,6.7,8.9,1.9,0.9,13.6,22.1,-0.8,0.6,-0.2,-0.008,-3.6,-1.2,-4.8,-0.7,"Tariq Abdul-Wahad","abdulta01","1997-98"
"1998","99",24,"SAC","NBA","SG",49,1205,11.8,0.486,0.052,0.334,6.3,9.9,8.1,6.5,2.1,0.8,13,19,0.5,0.9,1.4,0.058,-2.5,-0.5,-3,-0.3,"Tariq Abdul-Wahad","abdulta01","1998-99"
"1999","00",25,"TOT","NBA","SG",61,1578,13.6,0.477,0.036,0.299,7,13.1,10,10,1.8,1.2,12.7,22.5,0.4,1.8,2.2,0.068,-1.2,-0.1,-1.2,0.3,"Tariq Abdul-Wahad","abdulta01","1999-00"
"1999","00",25,"ORL","NBA","SG",46,1205,14.4,0.484,0.041,0.293,7,14.6,10.8,9.7,2.2,0.9,13,23.3,0.4,1.6,2,0.082,-1,0.2,-0.8,0.4,"Tariq Abdul-Wahad","abdulta01","1999-00"
"2000","01",26,"DEN","NBA","SG",29,420,5.8,0.438,0.09,0.324,3.6,11.8,7.6,8.1,1.7,2.1,21.1,17.1,-0.7,0.3,-0.4,-0.049,-5.6,-0.3,-5.8,-0.4,"Tariq Abdul-Wahad","abdulta01","2000-01"
"2001","02",27,"TOT","NBA","SG",24,441,9.8,0.418,0.014,0.224,10.1,11.6,10.8,8.8,2.4,1.7,14.3,19.1,-0.3,0.3,0,-0.003,-3.4,-0.3,-3.7,-0.2,"Tariq Abdul-Wahad","abdulta01","2001-02"
"2001","02",27,"DEN","NBA","SG",20,417,10.3,0.424,0.014,0.221,10.2,11.2,10.7,8.7,2.3,1.6,13.1,19.7,-0.2,0.3,0,0.005,-3.1,-0.5,-3.6,-0.2,"Tariq Abdul-Wahad","abdulta01","2001-02"
"1996","97",20,"VAN","NBA","PF",80,2802,17.4,0.518,0.022,0.428,8.8,14.2,11.5,12.1,1.5,2.2,13.5,27.6,1.7,1.2,2.9,0.049,0.3,-2.1,-1.8,0.2,"Shareef Abdur-Rahim","abdursh01","1996-97"
"1997","98",21,"VAN","NBA","SF",82,2950,21.1,0.562,0.038,0.475,8.9,13.8,11.3,13.5,1.6,1.8,13.6,28.4,6.3,0.6,6.9,0.113,3.4,-1.8,1.6,2.6,"Shareef Abdur-Rahim","abdursh01","1997-98"
"1998","99",22,"VAN","NBA","SF",50,2021,20.7,0.53,0.04,0.492,6.5,15.4,10.9,17.6,1.8,2,14.6,28.9,3.7,0.9,4.6,0.108,2.9,-0.9,2,2.1,"Shareef Abdur-Rahim","abdursh01","1998-99"
"1999","00",23,"VAN","NBA","SF",82,3223,20.2,0.547,0.075,0.431,8,22.7,15.3,15.5,1.5,1.9,14.1,25,6.2,2.6,8.8,0.132,2.6,-0.4,2.2,3.4,"Shareef Abdur-Rahim","abdursh01","1999-00"
"2000","01",24,"VAN","NBA","SF",81,3241,19.1,0.549,0.05,0.415,6.2,19.6,13,14.3,1.5,1.6,13.2,24.6,5.6,2.9,8.5,0.126,1.7,0.1,1.8,3.1,"Shareef Abdur-Rahim","abdursh01","2000-01"
"2001","02",25,"ATL","NBA","PF",77,2980,19.8,0.536,0.054,0.403,7.6,19.2,13.3,15.1,1.7,2,14.1,27,4.1,3.1,7.2,0.116,1.9,-0.2,1.7,2.8,"Shareef Abdur-Rahim","abdursh01","2001-02"
"2002","03",26,"ATL","NBA","PF",81,3087,19.9,0.566,0.051,0.457,6.7,17.8,12.5,14.7,1.5,0.9,13,24.2,7.4,2.3,9.7,0.151,2.3,-0.7,1.6,2.8,"Shareef Abdur-Rahim","abdursh01","2002-03"
"2003","04",27,"TOT","NBA","PF",85,2684,19.9,0.557,0.032,0.407,8.2,19,13.6,12.3,1.4,1,12.9,24.4,6.1,2,8.1,0.145,2.3,-0.7,1.6,2.4,"Shareef Abdur-Rahim","abdursh01","2003-04"
"2003","04",27,"ATL","NBA","PF",53,1956,21.2,0.568,0.029,0.423,8.2,20.3,14.3,12.6,1.2,0.7,12.3,24.8,5.3,1.3,6.6,0.163,3.3,-1,2.3,2.1,"Shareef Abdur-Rahim","abdursh01","2003-04"
"2003","04",27,"POR","NBA","PF",32,728,16.5,0.522,0.042,0.36,7.9,15.5,11.8,11.5,1.8,1.8,14.8,23.3,0.9,0.6,1.5,0.098,-0.4,0,-0.4,0.3,"Shareef Abdur-Rahim","abdursh01","2003-04"
"2004","05",28,"POR","NBA","PF",54,1867,18.7,0.581,0.058,0.379,7.9,16,12.1,10.7,1.4,1,13,22.1,3.9,1.5,5.4,0.139,1.6,-0.6,0.9,1.4,"Shareef Abdur-Rahim","abdursh01","2004-05"
"2005","06",29,"SAC","NBA","PF",72,1961,17.2,0.588,0.035,0.44,6.4,14.8,10.6,13.2,1.3,1.6,12.5,20.1,4,2.2,6.2,0.152,0.5,0.4,0.9,1.4,"Shareef Abdur-Rahim","abdursh01","2005-06"
"2006","07",30,"SAC","NBA","C",80,2015,13.1,0.524,0.031,0.358,7,16.4,11.6,9.2,1.3,1.5,13.3,19.5,1.1,1.7,2.8,0.067,-2,-0.5,-2.5,-0.2,"Shareef Abdur-Rahim","abdursh01","2006-07"
"2016","17",23,"OKC","NBA","SG",68,1055,10.1,0.56,0.724,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,0.096,-1.3,-0.4,-1.6,0.1,"Álex Abrines","abrinal01","2016-17"
"2017","18",24,"OKC","NBA","SG",75,1134,9,0.567,0.759,0.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,1.3,1,2.2,0.094,-1.9,0.4,-1.5,0.1,"Álex Abrines","abrinal01","2017-18"
"2018","19",25,"OKC","NBA","SG",31,588,6.3,0.507,0.809,0.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,0.1,0.6,0.6,0.053,-3.7,0.4,-3.3,-0.2,"Álex Abrines","abrinal01","2018-19"
"2020","21",21,"MIA","NBA","PF",35,491,15.4,0.587,0,0.559,11.1,20.8,16.2,6.6,1.5,4.1,15,19.4,0.3,0.8,1.1,0.111,-2.5,-0.2,-2.7,-0.1,"Precious Achiuwa","achiupr01","2020-21"
"2008","09",26,"TOT","NBA","SG",25,199,10.4,0.448,0.263,0.132,4.5,9.6,7,10.2,1.3,1.5,8,20.1,-0.1,0.1,0,-0.011,-1.8,-1.7,-3.6,-0.1,"Alex Acker","ackeral01","2008-09"
"1987","88",25,"BOS","NBA","C",79,1151,9.3,0.57,0,0.547,11.6,15.9,13.9,4.5,1.2,1.3,17.7,11.4,1.1,1,2.2,0.09,-2.6,-0.2,-2.8,-0.2,"Mark Acres","acresma01","1987-88"
"1988","89",26,"BOS","NBA","C",62,632,8.2,0.507,0.009,0.421,10.9,15.6,13.3,3.7,1.5,0.6,14.5,10.4,0.4,0.5,0.9,0.066,-3,-0.4,-3.4,-0.2,"Mark Acres","acresma01","1988-89"
"1989","90",27,"ORL","NBA","C",80,1691,8.3,0.536,0.014,0.421,9.3,17.8,13.4,5,1,0.8,17.2,9.4,1.1,0.6,1.6,0.047,-3.1,-0.6,-3.7,-0.7,"Mark Acres","acresma01","1989-90"
"1990","91",28,"ORL","NBA","C",68,1313,9.2,0.551,0.014,0.472,11.3,18.7,14.9,2.5,0.9,1.1,14,9.3,1.4,1.1,2.5,0.09,-2.8,-0.2,-3,-0.3,"Mark Acres","acresma01","1990-91"
"1991","92",29,"ORL","NBA","C",68,926,10.1,0.576,0.02,0.444,11.4,19.2,15.2,3.2,1.3,1,15.5,9.6,1.1,0.8,1.9,0.097,-2.7,-0.2,-2.9,-0.2,"Mark Acres","acresma01","1991-92"
"2012","13",22,"TOR","NBA","PF",29,342,15.9,0.632,0.027,0.507,10.3,16.6,13.4,5.2,2,3.5,15.6,14.7,0.7,0.4,1.1,0.157,-1,1,0.1,0.2,"Quincy Acy","acyqu01","2012-13"
"2013","14",23,"TOT","NBA","SF",63,847,10.1,0.52,0.106,0.376,9.5,19.5,14.4,4.9,1.4,2.5,15.4,10.1,0.6,0.9,1.5,0.086,-2.5,0.8,-1.7,0.1,"Quincy Acy","acyqu01","2013-14"
"2013","14",23,"SAC","NBA","SF",56,786,9.6,0.518,0.079,0.354,9.5,19.5,14.4,4.4,1.2,2.4,16,9.8,0.5,0.7,1.3,0.078,-2.8,0.6,-2.2,0,"Quincy Acy","acyqu01","2013-14"
"2014","15",24,"NYK","NBA","PF",68,1287,11.9,0.533,0.181,0.293,6.9,20.5,13.5,8.7,1.1,1.4,13.8,15.5,1,0.7,1.7,0.063,-2.1,-1,-3.1,-0.3,"Quincy Acy","acyqu01","2014-15"
"2015","16",25,"SAC","NBA","PF",59,876,14.7,0.629,0.229,0.318,8.1,15.1,11.6,4.4,1.6,2.2,10,13.1,1.8,0.7,2.5,0.137,-0.2,0.2,-0.1,0.4,"Quincy Acy","acyqu01","2015-16"
"2016","17",26,"TOT","NBA","PF",38,558,11.8,0.565,0.529,0.353,3.9,18,11,4.9,1.2,2,9.7,16.8,0.5,0.5,0.9,0.082,-1.5,-0.6,-2.1,0,"Quincy Acy","acyqu01","2016-17"
"2016","17",26,"BRK","NBA","PF",32,510,13.1,0.587,0.542,0.373,3.8,18.2,11.1,5.4,1.3,2.2,9.6,16.5,0.6,0.5,1.1,0.102,-0.6,-0.2,-0.9,0.1,"Quincy Acy","acyqu01","2016-17"
"2017","18",27,"BRK","NBA","PF",70,1359,8.2,0.525,0.8,0.164,3.1,17.1,10,6,1.2,1.6,13.3,14.4,-0.1,1.1,1,0.036,-2.6,0.1,-2.5,-0.2,"Quincy Acy","acyqu01","2017-18"
"1984","85",30,"PHO","NBA","PF",82,2136,19.8,0.578,0,0.309,8.2,18.1,13.3,21.8,2.5,1.3,15.9,23.6,3.5,3.3,6.8,0.152,2.3,1.7,4,3.2,"Alvan Adams","adamsal01","1984-85"
"1985","86",31,"PHO","NBA","C",78,2005,15.3,0.547,0.003,0.299,8.9,18.1,13.7,22.5,2.4,1.3,21.1,19.4,1.2,2.7,3.9,0.094,0.2,1.5,1.6,1.8,"Alvan Adams","adamsal01","1985-86"
"1986","87",32,"PHO","NBA","C",68,1690,14.6,0.546,0.002,0.275,6.2,16.1,11.2,18.4,1.7,1.3,16.7,20,1.2,1.6,2.8,0.079,-0.4,0.3,-0.1,0.8,"Alvan Adams","adamsal01","1986-87"
"1987","88",33,"PHO","NBA","C",82,1646,13.1,0.543,0.004,0.253,8,17,12.5,14.9,2.4,1.4,19.9,17.4,0.6,1.6,2.2,0.064,-1.5,1,-0.5,0.6,"Alvan Adams","adamsal01","1987-88"
"2006","07",22,"NJN","NBA","SG",61,495,13,0.577,0.007,0.267,8.4,9.9,9.2,4.5,1.8,0.6,12.7,16.3,0.5,0.5,1,0.095,-1.3,-0.2,-1.5,0.1,"Hassan Adams","adamsha01","2006-07"
"2018","19",22,"ATL","NBA","PG",34,428,7.6,0.474,0.673,0.082,2.6,12.3,7.4,19.8,1.5,1,19.7,13.5,-0.1,0.2,0.1,0.011,-3.8,-0.5,-4.3,-0.2,"Jaylen Adams","adamsja01","2018-19"
"2014","15",20,"MEM","NBA","SG",30,248,12.8,0.489,0.291,0.267,4.2,8.7,6.4,10.1,3.4,2.3,12.7,20.4,0,0.4,0.4,0.073,-1.2,2.6,1.4,0.2,"Jordan Adams","adamsjo01","2014-15"
"1986","87",24,"WSB","NBA","PG",63,1303,14.3,0.506,0.26,0.316,3,7,5,25.7,3.1,0.3,15.3,16.3,1.2,1.5,2.7,0.099,0,1.2,1.2,1,"Michael Adams","adamsmi01","1986-87"
"1987","88",25,"DEN","NBA","PG",82,2778,15.6,0.56,0.409,0.215,1.5,7.2,4.2,22.5,2.8,0.3,12.4,16.2,4.4,3.2,7.5,0.13,1.5,0.9,2.5,3.1,"Michael Adams","adamsmi01","1987-88"
"1988","89",26,"DEN","NBA","PG",77,2787,17.5,0.567,0.431,0.363,2.5,8.3,5.2,22.2,2.7,0.2,12.5,19.7,5.4,2.9,8.3,0.143,2.7,0.2,2.9,3.4,"Michael Adams","adamsmi01","1988-89"
"1989","90",27,"DEN","NBA","PG",79,2690,15.4,0.542,0.437,0.317,1.8,7.3,4.4,23.3,2,0.1,11.1,18.5,4.4,2.5,6.9,0.124,1.8,-0.1,1.8,2.6,"Michael Adams","adamsmi01","1989-90"
"1990","91",28,"DEN","NBA","PG",66,2346,22.3,0.53,0.397,0.372,2.1,8.8,5.2,39.4,2.6,0.1,12.7,28.5,5.8,0.4,6.3,0.128,6,-0.7,5.3,4.3,"Michael Adams","adamsmi01","1990-91"
"1991","92",29,"WSB","NBA","PG",78,2795,17.1,0.506,0.313,0.292,2.2,10.1,6.1,31.5,2.5,0.2,13.2,24.2,2.6,2.6,5.3,0.09,2.1,-0.3,1.8,2.6,"Michael Adams","adamsmi01","1991-92"
"1992","93",30,"WSB","NBA","PG",70,2499,15.6,0.543,0.255,0.333,2.3,8.6,5.4,30.6,2,0.1,15.5,19.2,3.3,1.2,4.6,0.088,0.9,-0.9,0,1.3,"Michael Adams","adamsmi01","1992-93"
"1993","94",31,"WSB","NBA","PG",70,2337,14.2,0.52,0.274,0.387,1.8,7.4,4.6,29.8,2.1,0.2,17,18.1,2.9,0.2,3.1,0.063,0.5,-1.5,-1,0.6,"Michael Adams","adamsmi01","1993-94"
"1994","95",32,"CHH","NBA","PG",29,443,17.7,0.583,0.547,0.203,1.7,5.9,3.9,34.6,2.7,0.2,13.9,19.6,1.1,0.5,1.6,0.169,2.5,0.8,3.3,0.6,"Michael Adams","adamsmi01","1994-95"
"1995","96",33,"CHH","NBA","PG",21,329,16.1,0.579,0.494,0.422,1.8,6.4,4.1,30.4,3.3,0.9,20.3,17,0.6,0.2,0.8,0.117,1.6,1.2,2.8,0.4,"Michael Adams","adamsmi01","1995-96"
"2013","14",20,"OKC","NBA","C",81,1197,11.2,0.541,0,0.735,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,0.9,1.9,2.9,0.114,-3.1,0.9,-2.2,-0.1,"Steven Adams","adamsst01","2013-14"
"2014","15",21,"OKC","NBA","C",70,1771,14.1,0.549,0.005,0.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,1.9,2.2,4.1,0.111,-1.5,0.2,-1.3,0.3,"Steven Adams","adamsst01","2014-15"
"2015","16",22,"OKC","NBA","C",80,2014,15.5,0.621,0,0.46,12.5,16.1,14.4,4.3,1,3.3,14.1,12.6,4.2,2.3,6.5,0.155,0,0.2,0.2,1.1,"Steven Adams","adamsst01","2015-16"
"2016","17",23,"OKC","NBA","C",80,2389,16.5,0.589,0.002,0.392,13,15.4,14.2,5.4,1.8,2.6,16,16.2,3.3,3.1,6.5,0.13,-0.2,0,-0.2,1.1,"Steven Adams","adamsst01","2016-17"
"2017","18",24,"OKC","NBA","C",76,2487,20.6,0.63,0.003,0.402,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7,6.7,3,9.7,0.187,1.7,-0.6,1.1,2,"Steven Adams","adamsst01","2017-18"
"2018","19",25,"OKC","NBA","C",80,2669,18.5,0.591,0.002,0.361,14.7,14.8,14.7,6.6,2,2.4,12.6,16.4,5.1,4,9.1,0.163,0.7,0.4,1.1,2.1,"Steven Adams","adamsst01","2018-19"
"2019","20",26,"OKC","NBA","C",63,1680,20.5,0.604,0.006,0.421,14,24,19.2,13.2,1.5,3.4,14.2,17.3,3.8,2.7,6.5,0.185,1.9,1.1,2.9,2.1,"Steven Adams","adamsst01","2019-20"
"2020","21",27,"NOP","NBA","C",33,918,16,0.597,0.005,0.422,16.1,19.6,17.8,9.9,1.5,2.2,18.4,12.6,1.5,0.6,2.1,0.11,0.1,-1,-0.9,0.3,"Steven Adams","adamsst01","2020-21"
"1986","87",22,"PHO","NBA","SF",62,711,11.9,0.5,0.151,0.193,6.6,10.1,8.4,9.1,1.8,0.6,13.1,23.6,-0.1,0.5,0.4,0.024,-2,-1.9,-3.9,-0.3,"Rafael Addison","addisra01","1986-87"
"1991","92",27,"NJN","NBA","SF",76,1175,10.9,0.477,0.113,0.176,5.7,9.3,7.4,8.1,1.2,1.4,9,17.5,0.8,0.7,1.5,0.063,-1.8,-0.9,-2.7,-0.2,"Rafael Addison","addisra01","1991-92"
"1992","93",28,"NJN","NBA","SF",68,1164,8.4,0.484,0.083,0.17,4.2,8.2,6.2,6.8,1,0.6,12.7,18.2,-0.1,1,0.9,0.038,-3.9,-0.9,-4.8,-0.8,"Rafael Addison","addisra01","1992-93"
"1994","95",30,"DET","NBA","SF",79,1776,11.3,0.521,0.142,0.169,4.4,11.6,8,9.9,1.5,1,10.8,17.8,0.9,0.6,1.5,0.04,-2.2,-1,-3.3,-0.6,"Rafael Addison","addisra01","1994-95"
"1995","96",31,"CHH","NBA","SF",53,516,9.6,0.489,0.055,0.133,5.8,15.6,10.6,9.2,0.9,1.3,13.4,17.7,0,0.2,0.2,0.019,-3.9,-1,-4.9,-0.4,"Rafael Addison","addisra01","1995-96"
"1996","97",32,"CHH","NBA","SF",41,355,10.6,0.476,0.164,0.23,6.7,8.6,7.7,15.5,1.2,0.6,11.2,20.1,0.2,0.1,0.4,0.048,-2.6,-1.7,-4.4,-0.2,"Rafael Addison","addisra01","1996-97"
"2017","18",20,"MIA","NBA","C",69,1368,15.7,0.57,0.021,0.526,9.7,21.6,15.6,11,1.2,2.5,13.6,15.9,2.3,1.9,4.2,0.148,-1.1,0.7,-0.4,0.6,"Bam Adebayo","adebaba01","2017-18"
"2018","19",21,"MIA","NBA","C",82,1913,17.9,0.623,0.031,0.465,9.2,24,16.6,14.2,1.8,3,17.1,15.8,3.4,3.4,6.8,0.171,-0.4,2.2,1.8,1.8,"Bam Adebayo","adebaba01","2018-19"
"2019","20",22,"MIA","NBA","PF",72,2417,20.3,0.598,0.018,0.484,8.5,24.9,17,24.2,1.7,3.8,17.6,21.2,4.6,3.9,8.5,0.168,1.4,2,3.4,3.3,"Bam Adebayo","adebaba01","2019-20"
"2020","21",23,"MIA","NBA","C",33,1119,22,0.631,0.014,0.451,7.6,23.1,15.8,27.6,1.3,3.2,16.3,24,2.8,1.7,4.5,0.193,2.6,1.8,4.4,1.8,"Bam Adebayo","adebaba01","2020-21"
"2010","11",24,"GSW","NBA","PF",23,196,11.3,0.457,0,0.352,13,20.7,16.8,7.3,1,1.9,12.6,16.1,0.1,0.1,0.2,0.051,-3.3,-2,-5.3,-0.2,"Jeff Adrien","adrieje01","2010-11"
"2012","13",26,"CHA","NBA","PF",52,713,13.4,0.493,0.012,0.595,10.6,21.2,15.7,8.3,1.3,3.1,13.1,15.6,0.5,0.4,1,0.064,-2.1,-0.9,-3,-0.2,"Jeff Adrien","adrieje01","2012-13"
"2013","14",27,"TOT","NBA","PF",53,961,17.4,0.553,0,0.433,11.8,24.8,18.2,6.8,1.3,3,10.6,17.3,1.6,1.1,2.7,0.134,0,-0.9,-0.9,0.3,"Jeff Adrien","adrieje01","2013-14"
"2013","14",27,"CHA","NBA","PF",25,256,14.9,0.559,0,0.625,14.5,24.4,19.4,4.1,1.4,4.6,13.6,10.6,0.4,0.5,0.9,0.17,-1.8,1.7,0,0.1,"Jeff Adrien","adrieje01","2013-14"
"2013","14",27,"MIL","NBA","PF",28,705,18.4,0.552,0,0.4,10.9,25,17.7,7.7,1.3,2.4,10.1,19.7,1.2,0.6,1.8,0.121,0.6,-1.8,-1.2,0.1,"Jeff Adrien","adrieje01","2013-14"
"2007","08",22,"DET","NBA","SG",75,970,10.2,0.494,0.199,0.361,4.4,12.5,8.4,8.1,1.8,0.7,10.9,15.2,0.5,1.4,1.9,0.092,-2.6,1,-1.5,0.1,"Arron Afflalo","afflaar01","2007-08"
"2008","09",23,"DET","NBA","SG",74,1234,8.9,0.548,0.357,0.237,2.8,10.1,6.4,5.5,1.3,0.8,11.5,14.5,0.8,1,1.8,0.069,-2.8,0.2,-2.6,-0.2,"Arron Afflalo","afflaar01","2008-09"
"2009","10",24,"DEN","NBA","SG",82,2221,10.9,0.576,0.426,0.168,3.1,9.9,6.5,9.3,1,1,10.5,14,2.8,1.4,4.3,0.092,-0.2,-0.2,-0.4,0.9,"Arron Afflalo","afflaar01","2009-10"
"2010","11",25,"DEN","NBA","SG",69,2324,13.6,0.62,0.396,0.26,2.3,9.9,6.2,10.9,0.7,1,9.2,14.8,4.8,1.4,6.2,0.128,1.7,-0.3,1.4,2,"Arron Afflalo","afflaar01","2010-11"
"2011","12",26,"DEN","NBA","SG",62,2086,14.7,0.584,0.316,0.353,2.3,8.5,5.5,11.1,0.9,0.5,9.5,19.1,4.7,0.6,5.3,0.121,1.4,-1.2,0.1,1.1,"Arron Afflalo","afflaar01","2011-12"
"2012","13",27,"ORL","NBA","SF",64,2307,13,0.527,0.265,0.246,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,1.5,0.5,2,0.042,-1.1,-1.8,-2.9,-0.5,"Arron Afflalo","afflaar01","2012-13"
"2013","14",28,"ORL","NBA","SG",73,2552,16,0.574,0.297,0.332,1.4,10.2,5.8,16.9,0.7,0.1,11.2,23.3,4.3,1,5.3,0.099,1.4,-1.6,-0.2,1.1,"Arron Afflalo","afflaar01","2013-14"
"2014","15",29,"TOT","NBA","SG",78,2502,10.7,0.533,0.377,0.224,1.1,9.7,5.3,8.2,0.8,0.2,10.7,19,1.6,1,2.6,0.05,-1.4,-1.1,-2.5,-0.3,"Arron Afflalo","afflaar01","2014-15"
"2014","15",29,"DEN","NBA","SG",53,1750,11.7,0.533,0.37,0.23,1.3,10.2,5.6,9.3,0.9,0.2,10.3,19.9,1.4,0.4,1.8,0.05,-0.7,-1.2,-1.9,0.1,"Arron Afflalo","afflaar01","2014-15"
"2014","15",29,"POR","NBA","SG",25,752,8.2,0.533,0.396,0.207,0.9,8.5,4.8,5.5,0.6,0.2,11.8,16.7,0.2,0.5,0.8,0.049,-3,-0.8,-3.8,-0.4,"Arron Afflalo","afflaar01","2014-15"
